TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Washington Wizards,82,43,39,48.4,107.7,33.1,73.2,7.9,4.3,17.1,13.1,11,45.4
Utah Jazz,82,48,34,48.2,103,34.2,75.6,8.6,5.1,16.4,10.8,9.5,41.8
Toronto Raptors,82,59,23,48.4,105.3,34.2,72.5,7.6,6.1,15,13.2,11.6,45.3
San Antonio Spurs,82,47,35,48.1,104.1,33.9,74.1,7.7,5.6,15,12.2,12.5,44.1
Sacramento Kings,82,27,55,48.2,110.4,31.4,73.1,7.8,4.1,15.7,11.6,12.3,42.2
Portland Trail Blazers,82,49,33,48.2,105.7,35.3,74.6,7,5.2,14.9,11.7,11.3,42.1
Phoenix Suns,82,21,61,48.1,111.7,33.9,72.4,6.9,4.5,18.6,13.2,14.6,47.1
Philadelphia 76ers,82,52,30,48.2,103.9,36.5,73.6,8.3,5.1,18.5,12.3,10.3,41.6
Orlando Magic,82,25,57,48.1,109.4,32.8,71.4,7.6,4.9,17,12.8,12.9,48.3
Oklahoma City Thunder,82,48,34,48.4,106.4,32.6,72.5,9.1,5,14.4,12.8,11.2,43.5
New York Knicks,82,29,53,48.4,109.7,33.6,72.7,6.7,5.1,17.4,13.2,11.4,43.4
New Orleans Pelicans,82,48,34,48.7,107.4,35.6,72.6,8,5.9,17.3,13.8,14.2,47.7
Minnesota Timberwolves,82,47,35,48.3,110.2,31.6,72,8.4,4.2,15.2,13,12.9,45.7
Milwaukee Bucks,82,44,38,48.4,109.1,31.5,70.9,8.8,5.4,15.8,13,10.1,47.3
Miami Heat,82,44,38,48.6,105.8,34.2,74.1,7.6,5.3,15.6,11.8,11,43.5
Memphis Grizzlies,82,22,60,48.1,110.4,31,72.1,7.5,4.8,17.3,11.8,14.3,42.1
Los Angeles Lakers,82,35,47,48.5,107.3,35.7,72.9,7.7,4.7,18.2,13.5,12.7,49
LA Clippers,82,42,40,48.1,109.2,33.7,71.8,7.7,4.5,17.4,13.2,15.4,44.8
Indiana Pacers,82,48,34,48.2,107.3,32.7,72.1,8.8,4.1,14.8,12.8,12.3,44.8
Houston Rockets,82,65,17,48.2,105.7,34.5,75,8.5,4.8,15.8,11.9,11.9,48
Golden State Warriors,82,58,24,48.1,106.8,35.1,71.2,8,7.5,18.5,13.7,14.1,47.4
Detroit Pistons,82,39,43,48.3,106.7,33.6,74,7.7,3.9,14.9,11.2,9.9,43.6
Denver Nuggets,82,46,36,48.5,110,33.5,73.6,7.6,4.9,18.7,11.2,13,47.3
Dallas Mavericks,82,24,58,48.3,108.4,33.1,74.9,7,3.8,13.9,11.4,14.3,42.2
Cleveland Cavaliers,82,50,32,48.1,111.1,33.7,73,7.1,3.8,16.5,12.7,11.3,47
Chicago Bulls,82,27,55,48.4,110.5,35,76.7,7.6,3.5,16.3,11.2,11.3,44.5
Charlotte Hornets,82,36,46,48.2,109,35.4,76.3,6.8,4.5,14.8,10.7,10.7,45.2
Brooklyn Nets,82,28,54,48.4,109.7,34.8,73.1,6.2,4.8,17.3,13.6,11.6,47.8
Boston Celtics,82,55,27,48.3,103.2,35.1,73.9,7.4,4.5,15.6,11.2,10.4,43.8
Atlanta Hawks,82,24,58,48.1,110.1,32.8,71.9,7.8,4.2,17.9,12.9,13,44.4
